,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
3815,1400,90,2,2,1,2,Yes,No,No,No,Moema
5309,1036,127,3,4,3,3,Yes,Yes,Yes,No,Vila Olimpia
5414,600,33,1,2,1,1,No,Yes,Yes,No,Brooklin
4653,637,37,1,1,0,1,No,No,No,No,Perdizes
10948,1400,140,3,2,1,2,Yes,No,Yes,No,Pinheiros
10097,837,114,3,3,1,2,Yes,No,Yes,No,Butantã
11165,1190,83,3,2,1,2,No,No,No,No,Vila Madalena
315,0,47,2,2,1,1,No,No,No,No,José Bonifácio
1604,402,66,3,2,1,1,No,No,No,No,Alto de Pinheiros
9188,0,40,1,2,1,1,No,Yes,Yes,No,Liberdade
926,0,60,2,2,1,1,No,No,No,No,Capão Redondo
2181,820,40,1,2,1,1,No,No,Yes,No,Bela Vista
9867,0,50,2,2,1,1,No,No,No,No,Capão Redondo
4698,1200,128,3,2,1,1,No,No,No,No,Pinheiros
10020,1854,198,3,4,3,2,Yes,No,Yes,No,Vila Andrade
1592,420,71,3,2,1,1,No,No,No,No,Alto de Pinheiros
10880,600,56,2,2,1,1,No,No,Yes,No,Freguesia do Ó
10850,680,110,3,2,1,2,No,Yes,No,No,Butantã
4253,2500,178,4,4,3,4,No,No,Yes,No,Alto de Pinheiros
2005,400,50,2,2,1,1,Yes,No,No,No,Pirituba
1959,1200,119,3,3,1,2,No,No,Yes,No,Perdizes
10975,250,41,2,1,0,1,No,No,No,No,Pirituba
4025,650,40,2,1,0,1,No,No,Yes,No,Saúde
3506,837,93,3,3,1,2,No,No,No,No,Cursino
3897,1500,99,1,2,1,3,No,Yes,Yes,No,Morumbi
1648,635,58,2,2,1,1,No,Yes,Yes,No,Anhanguera
10703,1200,87,2,2,1,2,No,No,No,No,Morumbi
4440,506,64,2,1,0,1,No,No,Yes,No,Jaguaré
3377,550,50,1,1,0,1,No,No,No,No,Cambuci
9995,1970,110,4,2,1,3,No,No,No,No,Santo Amaro
4538,580,85,3,2,1,1,No,Yes,Yes,No,Lapa
10152,870,71,3,2,1,1,Yes,No,Yes,No,Lapa
2205,502,50,1,1,0,0,Yes,No,No,No,Bela Vista
9687,100,35,2,2,1,1,No,No,No,No,Itaquera
10408,0,100,2,1,0,1,No,No,No,No,Aricanduva
505,0,44,2,2,1,1,No,No,No,No,São Miguel
2245,654,65,2,1,0,1,No,No,No,No,Bom Retiro
4114,900,78,3,2,0,1,Yes,No,Yes,No,Vila Andrade
3813,0,220,3,4,3,2,No,No,Yes,No,Moema
5404,600,51,1,1,0,1,No,No,Yes,No,Brooklin
3500,1007,93,3,2,1,2,No,No,Yes,No,Cursino
3446,1345,163,3,4,3,3,No,No,Yes,No,Campo Grande
4742,820,82,3,1,0,1,Yes,No,No,No,Pinheiros
3569,580,103,4,2,1,2,No,No,Yes,No,Ipiranga
772,125,110,2,2,1,1,No,No,No,No,Cambuci
4143,770,50,2,1,0,1,Yes,No,No,No,Vila Mariana
10329,538,60,2,1,0,1,Yes,No,No,No,Liberdade
4022,650,56,2,1,0,1,No,No,Yes,No,Saúde
2856,0,40,2,2,0,0,No,No,No,No,Vila Guilherme
1929,1150,110,3,3,1,2,Yes,No,Yes,No,Perdizes
267,325,50,2,2,1,1,Yes,No,No,No,Itaquera
