,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
2457,1400,170,3,1,0,2,No,No,No,No,Liberdade
9442,564,78,3,2,1,1,No,No,Yes,No,Tucuruvi
9460,450,47,2,2,1,1,No,No,Yes,No,Vila Guilherme
2310,208,34,1,2,1,0,No,No,No,No,Brás
32,811,107,3,3,1,2,Yes,No,Yes,No,Belém
949,300,48,2,2,1,1,No,No,No,No,Cidade Ademar
9662,1900,62,1,2,1,2,No,Yes,No,No,Iguatemi
10271,780,130,3,2,1,1,No,Yes,No,No,Bela Vista
1741,0,55,2,2,1,1,No,No,No,No,Cachoeirinha
3118,0,50,2,1,0,1,No,No,No,No,Penha
1748,450,50,2,2,1,1,Yes,No,No,No,Cachoeirinha
10623,654,44,1,1,0,1,No,No,No,No,Itaim Bibi
1526,2100,222,4,6,4,4,Yes,Yes,Yes,No,Vila Mariana
3537,300,45,1,2,1,1,No,Yes,Yes,No,Ipiranga
9745,0,40,1,2,1,1,Yes,No,No,No,São Miguel
3498,240,65,2,1,0,1,No,No,No,No,Cidade Dutra
4782,532,52,2,1,0,1,No,No,No,No,Pirituba
3376,470,64,2,2,1,1,No,No,Yes,No,Cambuci
9420,1,49,2,2,1,1,No,No,No,No,Tremembé
9256,2900,391,4,2,1,1,No,No,No,No,República
1585,375,63,3,2,1,1,No,No,No,No,Alto de Pinheiros
2038,0,47,3,2,1,1,Yes,Yes,Yes,No,Raposo Tavares
728,553,52,1,2,1,1,Yes,No,No,No,Cambuci
2103,411,50,2,2,1,2,Yes,No,Yes,No,Vila Leopoldina
3626,5990,280,2,3,2,4,No,Yes,Yes,No,Itaim Bibi
3706,650,78,3,2,0,1,No,No,No,No,Jabaquara
3608,536,40,1,1,0,1,No,Yes,No,No,Itaim Bibi
1315,500,48,2,2,1,1,No,No,No,No,Sacomã
843,1100,133,3,3,1,2,No,No,No,No,Campo Grande
3592,656,49,1,1,0,1,No,No,No,No,Itaim Bibi
405,246,57,2,2,1,1,No,No,No,No,Sapopemba
414,542,65,3,2,1,1,No,No,No,No,Sapopemba
1139,1000,114,3,3,1,2,No,Yes,Yes,No,Jabaquara
346,290,46,2,2,1,1,Yes,No,No,No,Parque do Carmo
9738,0,48,2,2,1,1,No,No,No,No,São Mateus
9294,590,64,2,2,1,1,No,No,No,No,Casa Verde
4324,495,63,2,2,1,2,No,No,Yes,No,Butantã
2630,368,49,1,1,0,1,No,Yes,Yes,No,Casa Verde
10402,570,54,2,2,1,1,No,No,Yes,No,Água Rasa
9728,246,56,2,2,1,1,No,No,No,No,São Lucas
3090,350,55,2,1,0,1,No,No,No,No,Itaquera
9746,0,50,1,2,1,1,No,No,No,No,São Miguel
1746,605,65,3,2,1,1,No,No,No,No,Cachoeirinha
66,0,55,2,2,1,1,Yes,No,No,No,Cangaíba
3495,600,56,2,1,0,1,No,No,No,No,Cidade Ademar
9564,554,62,2,2,1,1,No,No,Yes,No,Água Rasa
3712,3800,210,4,3,2,3,No,Yes,Yes,No,Jardim Paulista
10404,280,35,1,1,0,1,No,No,No,No,Aricanduva
9807,428,70,2,2,1,2,No,No,No,No,Vila Prudente
413,330,56,2,2,1,1,No,No,No,No,Sapopemba
914,230,50,2,2,1,1,No,No,No,No,Capão Redondo
1330,400,52,2,2,1,1,No,No,No,No,Sacomã
4129,800,90,2,2,1,2,No,No,Yes,No,Vila Andrade
9663,0,62,1,2,1,2,No,No,No,No,Iguatemi
2091,700,35,1,2,1,1,No,Yes,No,No,Vila Leopoldina
10145,450,48,2,2,1,1,No,No,Yes,No,Lapa
3013,1350,127,3,4,3,2,No,No,Yes,No,Carrão
10321,495,56,2,1,0,1,No,No,Yes,No,Liberdade
2325,590,72,3,2,1,1,No,No,Yes,No,Brás
9665,1200,104,2,3,1,2,Yes,Yes,No,No,Iguatemi
2705,585,50,3,2,1,1,No,No,Yes,No,Mandaqui
2917,390,45,2,1,0,1,No,No,No,No,Aricanduva
9817,796,110,3,2,1,1,No,No,No,No,Cambuci
2453,770,49,1,1,0,1,No,Yes,Yes,No,Liberdade
3864,4200,510,6,5,4,3,No,No,Yes,No,Morumbi
3093,360,47,2,1,0,1,No,No,Yes,No,Itaquera
3110,0,56,2,1,0,1,No,No,No,No,José Bonifácio
10806,1342,90,3,2,1,1,No,Yes,No,No,Vila Mariana
534,583,68,2,2,1,1,Yes,No,Yes,No,Tatuapé
156,0,48,2,2,1,1,No,No,No,No,Cidade Tiradentes
4695,3200,230,4,5,4,4,No,No,No,No,Pinheiros
3822,2000,210,4,3,2,3,No,No,Yes,No,Moema
939,800,91,3,1,2,2,Yes,No,Yes,No,Cidade Ademar
11157,1100,35,1,2,1,1,Yes,Yes,Yes,No,Vila Olimpia
4222,986,80,2,1,0,1,Yes,No,Yes,No,Alto de Pinheiros
3932,330,60,2,2,1,1,No,No,Yes,No,Pedreira
9997,493,35,1,2,1,1,No,Yes,No,No,Santo Amaro
3970,580,54,2,1,0,1,No,Yes,No,No,Sacomã
2640,456,49,1,1,0,1,No,Yes,Yes,No,Casa Verde
9749,390,45,1,2,1,1,Yes,No,No,No,São Rafael
3518,1600,240,4,5,4,4,Yes,No,Yes,No,Ipiranga
2223,547,56,2,1,0,1,No,No,No,No,Bela Vista
2554,656,70,2,1,0,0,No,Yes,No,No,Santa Cecília
3991,1148,145,3,2,1,1,No,No,No,No,Santo Amaro
1246,2194,280,4,5,2,3,Yes,No,No,No,Morumbi
675,515,62,2,2,1,1,Yes,Yes,Yes,No,Vila Matilde
381,400,50,2,2,1,1,No,No,Yes,No,Penha
2426,326,40,1,1,0,0,No,No,No,No,Consolação
10430,742,52,2,1,0,1,No,No,No,No,Carrão
3319,580,59,2,1,0,1,No,No,Yes,No,Vila Prudente
2355,273,31,1,1,0,1,No,No,No,No,Brás
4234,1300,120,3,2,1,2,No,No,Yes,No,Alto de Pinheiros
3701,1000,114,3,2,1,2,No,No,Yes,No,Jabaquara
223,1031,120,3,2,1,1,No,No,No,No,Iguatemi
5426,1380,135,4,4,3,3,No,No,Yes,No,Brooklin
2865,0,60,1,2,1,2,No,No,Yes,No,Vila Maria
2372,432,43,1,1,0,1,No,Yes,Yes,No,Consolação
4840,580,70,1,2,1,1,No,Yes,Yes,No,Vila Leopoldina
893,0,42,2,2,1,1,Yes,No,Yes,No,Campo Limpo
10912,550,62,2,2,1,1,No,No,No,No,Lapa
1156,555,70,3,2,1,1,No,No,Yes,No,Jardim Ângela
3255,527,60,2,1,0,1,No,No,No,No,Vila Matilde
3639,700,50,1,2,1,1,No,No,Yes,No,Itaim Bibi
5220,776,65,2,2,1,1,No,No,No,No,Mooca
1564,800,96,3,2,1,1,No,No,Yes,No,Vila Sônia
10102,692,57,2,2,1,1,Yes,Yes,Yes,No,Butantã
9937,1034,100,2,2,1,1,No,No,No,No,Jardim Paulista
9205,861,58,2,2,1,1,Yes,Yes,Yes,No,Liberdade
361,398,70,3,2,1,2,No,No,Yes,No,Penha
4428,759,84,3,2,1,1,No,No,Yes,No,Freguesia do Ó
895,320,39,2,2,1,1,No,No,No,No,Capão Redondo
806,550,35,1,2,1,1,Yes,Yes,Yes,No,Campo Belo
2709,1115,84,3,2,1,2,No,No,No,No,Mandaqui
9225,390,90,2,2,1,1,No,No,No,No,Pari
5222,900,126,3,4,3,2,Yes,Yes,Yes,No,Mooca
10540,870,75,2,1,0,1,No,No,No,No,Campo Belo
2339,639,72,3,2,1,1,No,Yes,Yes,No,Brás
125,530,63,3,2,1,1,Yes,No,Yes,No,Cidade Líder
3768,5000,360,4,5,4,4,No,No,Yes,No,Jardim Paulista
977,1200,185,4,5,3,2,Yes,No,Yes,No,Cidade Dutra
3251,600,60,2,1,0,1,No,No,No,No,Vila Matilde
2587,5200,420,4,5,4,4,No,No,Yes,No,Santa Cecília
5333,550,80,2,1,0,1,No,No,No,No,Mooca
10049,840,58,2,2,1,1,Yes,Yes,Yes,No,Vila Mariana
3950,390,50,2,1,0,1,No,No,Yes,No,Sacomã
349,515,53,2,2,1,1,No,No,No,No,Penha
4362,900,136,4,2,1,2,No,No,Yes,No,Butantã
3287,300,44,2,1,0,1,No,No,No,No,Vila Prudente
10363,1500,120,4,4,3,3,No,No,Yes,No,Santana
4123,2300,211,4,4,3,3,No,No,Yes,No,Vila Andrade
10485,885,128,4,3,2,2,No,No,No,No,Vila Prudente
621,260,40,2,2,1,1,No,No,No,No,Vila Jacuí
10767,0,40,1,1,0,1,No,No,No,No,Saúde
2714,685,95,3,2,1,2,No,Yes,Yes,No,Mandaqui
3021,0,217,1,1,0,2,No,No,No,No,Carrão
1106,470,58,1,2,1,1,Yes,No,No,No,Jabaquara
3573,450,49,1,2,1,1,Yes,No,Yes,No,Ipiranga
3603,1500,101,2,3,2,2,Yes,No,Yes,No,Itaim Bibi
9803,430,49,2,2,1,1,No,No,Yes,No,Vila Prudente
2525,590,48,2,1,0,0,No,No,No,No,República
9838,478,43,1,2,1,1,Yes,No,Yes,No,Campo Belo
4766,160,50,2,1,0,1,No,No,No,No,Pirituba
10184,2640,160,4,6,4,3,No,No,Yes,No,Pinheiros
10328,356,38,1,1,0,1,Yes,No,No,No,Liberdade
1586,2500,190,3,5,3,3,Yes,Yes,Yes,No,Alto de Pinheiros
1914,395,73,2,2,1,1,No,No,No,No,Limão
1644,630,65,2,2,1,1,Yes,No,Yes,No,Anhanguera
2456,700,35,1,1,0,1,No,Yes,Yes,No,Liberdade
3998,1850,208,3,2,1,2,No,No,No,No,Santo Amaro
2909,575,56,2,1,0,1,No,No,Yes,No,Água Rasa
1245,1150,100,2,2,1,1,No,No,Yes,No,Moema
4512,800,94,1,1,0,2,No,Yes,Yes,No,Lapa
465,0,60,3,2,1,1,Yes,No,Yes,No,São Mateus
4281,2500,163,3,4,3,3,No,No,Yes,No,Alto de Pinheiros
4668,1400,96,3,2,1,1,No,No,No,No,Perdizes
1108,560,65,2,2,1,1,Yes,No,No,No,Jabaquara
4083,1,72,3,1,0,1,No,No,No,No,Socorro
2696,804,90,3,1,0,2,No,No,Yes,No,Mandaqui
9584,0,67,2,2,1,1,No,No,No,No,Aricanduva
2812,670,55,2,1,0,1,No,No,No,No,Tucuruvi
1715,0,52,2,2,1,1,Yes,No,No,No,Butantã
3239,169,30,1,1,0,0,Yes,No,No,No,Vila Matilde
3261,642,55,2,1,0,1,No,No,No,No,Vila Matilde
1171,500,69,3,2,1,1,No,No,No,No,Jardim Ângela
10445,450,70,2,1,0,1,No,No,No,No,Penha
4313,400,65,2,2,1,1,No,No,Yes,No,Butantã
10175,1042,70,3,2,1,1,Yes,No,Yes,No,Pinheiros
10060,770,56,2,2,1,1,No,No,Yes,No,Vila Sônia
210,1400,132,3,2,1,1,No,No,No,No,Iguatemi
2048,466,60,2,2,1,1,No,No,No,No,Rio Pequeno
4675,465,30,1,1,0,1,No,No,Yes,No,Perdizes
4096,0,52,2,1,0,1,No,No,No,No,Socorro
3212,1045,92,3,3,1,2,Yes,No,Yes,No,Tatuapé
11102,1377,140,3,2,1,1,No,No,No,No,Vila Madalena
10067,1655,138,3,4,3,3,No,No,Yes,No,Vila Sônia
3520,530,70,2,1,0,0,No,No,No,No,Ipiranga
5196,564,68,3,2,1,1,Yes,No,No,No,Mooca
10578,446,65,3,1,0,1,No,No,No,No,Campo Grande
415,330,56,2,2,1,1,No,No,No,No,Sapopemba
1995,2086,119,2,3,2,2,No,Yes,Yes,No,Pinheiros
5280,400,41,1,2,1,1,Yes,No,Yes,No,Brooklin
1593,736,80,2,2,1,1,No,No,No,No,Alto de Pinheiros
167,195,48,2,2,1,1,No,Yes,No,No,Cidade Tiradentes
3188,1035,85,3,3,1,2,No,No,Yes,No,Tatuapé
10638,700,56,2,1,0,1,No,Yes,Yes,No,Jabaquara
348,646,65,2,2,1,1,Yes,Yes,No,No,Penha
9172,2835,190,3,3,1,2,Yes,No,No,No,Consolação
2623,537,75,2,1,0,1,No,Yes,No,No,Casa Verde
2359,400,57,2,1,0,1,No,No,Yes,No,Brás
11193,650,41,1,2,1,1,No,Yes,Yes,No,Brooklin
2350,541,68,3,2,1,1,No,No,Yes,No,Brás
1831,414,67,3,2,1,1,No,No,Yes,No,Jaraguá
3284,498,50,2,1,0,1,No,No,Yes,No,Vila Prudente
3976,800,64,2,2,1,2,No,Yes,Yes,No,Santo Amaro
9527,600,72,3,2,1,2,Yes,No,Yes,No,Medeiros
11179,0,153,3,2,1,3,No,Yes,Yes,No,Mooca
9464,0,60,2,2,1,1,No,No,Yes,No,Vila Guilherme
4613,580,72,3,2,1,1,No,No,Yes,No,Limão
10446,594,65,2,2,0,1,No,No,No,No,Penha
10694,414,48,2,1,0,1,No,No,No,No,Morumbi
4527,380,62,3,2,1,1,No,No,No,No,Lapa
2122,482,65,1,2,1,1,No,No,No,No,Barra Funda
10920,1275,150,3,2,1,2,Yes,No,No,No,Perdizes
9757,488,43,1,2,1,1,Yes,Yes,Yes,No,Tatuapé
2776,480,52,2,1,0,1,No,No,No,No,Tremembé
10334,310,57,1,1,0,0,No,No,No,No,República
9521,1400,140,3,5,1,3,No,No,Yes,No,Medeiros
2242,354,48,1,1,0,0,No,No,No,No,Bela Vista
10403,1400,130,3,2,1,4,No,No,No,No,Aricanduva
11209,2300,162,3,4,3,3,No,No,Yes,No,Brooklin
5339,535,45,1,1,0,1,No,No,No,No,Mooca
10449,1030,60,3,1,0,2,No,Yes,Yes,No,Penha
9402,953,125,3,2,1,2,No,No,No,No,Santana
9330,610,65,2,2,1,2,Yes,Yes,Yes,No,Jaçanã
10978,574,65,3,2,1,1,No,No,Yes,No,Pirituba
1465,700,58,1,2,1,2,No,Yes,Yes,No,Vila Andrade
2686,500,74,2,2,1,1,No,No,No,No,Mandaqui
1371,2800,370,5,7,4,5,Yes,No,Yes,No,Santo Amaro
11101,250,30,1,2,1,1,No,Yes,No,No,Vila Madalena
3804,2799,182,3,3,2,3,Yes,No,Yes,No,Moema
11160,1100,111,3,3,1,2,Yes,No,Yes,No,Vila Olimpia
4279,2500,200,3,4,3,3,No,No,No,No,Alto de Pinheiros
10824,3260,311,4,5,4,4,No,No,No,No,Vila Sônia
439,0,63,3,2,1,2,No,No,No,No,São Lucas
10094,550,60,3,2,1,1,Yes,No,Yes,No,Butantã
88,580,62,2,2,1,1,Yes,No,Yes,No,Carrão
2553,400,40,1,1,0,1,No,No,No,No,Santa Cecília
9097,1850,172,3,2,1,2,No,No,No,No,Bela Vista
4100,1880,160,3,3,2,3,Yes,No,Yes,No,Vila Andrade
9236,629,48,1,2,1,1,No,Yes,No,No,República
5397,500,33,1,2,1,1,No,Yes,Yes,No,Brooklin
277,360,62,2,2,1,1,No,No,Yes,No,Jardim Helena
9218,445,65,2,2,1,1,Yes,No,Yes,No,Pari
9948,320,65,3,2,1,1,No,No,No,No,Moema
608,450,60,2,2,1,1,Yes,No,No,No,Vila Formosa
2100,850,103,3,3,1,1,Yes,No,No,No,Vila Leopoldina
2549,5500,300,3,4,3,4,No,No,No,No,Santa Cecília
2460,1100,110,3,2,1,2,Yes,No,No,No,Liberdade
4705,2050,250,4,3,2,2,No,No,No,No,Pinheiros
2655,0,50,1,1,0,1,No,No,No,No,Casa Verde
1003,3000,390,4,5,4,4,No,No,Yes,No,Cursino
10173,1020,112,2,3,1,2,Yes,No,No,No,Perdizes
9823,570,54,2,2,1,2,No,No,Yes,No,Cambuci
2033,560,77,2,2,1,1,Yes,Yes,Yes,No,Raposo Tavares
5320,200,82,2,2,1,0,No,No,No,No,Mooca
30,300,48,2,2,1,1,Yes,No,No,No,Belém
3305,767,73,2,1,0,1,No,No,No,No,Vila Prudente
10885,600,63,1,2,1,1,No,Yes,No,No,Jaguaré
9364,1000,147,3,2,1,2,No,No,No,No,Mandaqui
2797,780,110,3,2,1,2,No,No,No,No,Tucuruvi
9876,550,62,2,2,1,1,Yes,Yes,Yes,No,Ipiranga
4755,200,44,2,1,0,1,No,No,No,No,Pirituba
10577,633,96,2,1,0,1,No,No,No,No,Campo Grande
4398,598,50,2,1,0,1,No,No,No,No,Freguesia do Ó
2377,904,190,3,5,1,1,Yes,No,No,No,Consolação
871,0,43,2,2,1,1,Yes,No,Yes,No,Campo Limpo
10808,2784,160,3,4,3,3,No,No,Yes,No,Vila Mariana
1790,0,60,2,2,1,1,No,No,No,No,Jaguaré
1172,540,70,3,2,1,1,No,No,No,No,Jardim Ângela
3646,2019,42,1,1,0,1,No,No,No,No,Itaim Bibi
1042,1150,103,3,3,1,2,No,No,Yes,No,Ipiranga
1116,0,54,2,2,1,1,Yes,Yes,Yes,No,Jabaquara
4358,1560,186,3,4,3,3,No,No,Yes,No,Butantã
3810,1400,110,3,2,1,1,No,No,No,No,Moema
356,475,58,2,2,1,1,Yes,No,Yes,No,Penha
1788,1533,234,4,5,3,3,Yes,No,Yes,No,Jaguaré
9661,1900,62,1,2,1,2,No,Yes,No,No,Iguatemi
10590,1007,93,3,2,1,2,No,No,Yes,No,Cursino
4769,1100,85,2,2,1,1,No,No,Yes,No,Pirituba
4285,2196,240,3,4,3,3,No,No,Yes,No,Alto de Pinheiros
828,656,72,3,3,1,1,Yes,No,Yes,No,Campo Grande
1742,610,59,3,2,1,1,No,Yes,No,No,Cachoeirinha
10620,1460,62,1,2,1,2,No,Yes,Yes,No,Itaim Bibi
1461,1780,99,3,3,1,2,Yes,No,No,No,Vila Andrade
84,1030,126,3,4,3,2,Yes,No,Yes,No,Carrão
531,1398,144,4,3,2,4,Yes,No,Yes,No,Tatuapé
138,250,47,2,2,1,1,Yes,No,No,No,Cidade Líder
2806,1700,161,3,2,1,2,No,No,No,No,Tucuruvi
11103,390,39,1,2,1,1,Yes,No,Yes,No,Vila Madalena
10973,400,45,3,1,0,1,No,No,Yes,No,Pirituba
642,0,61,3,2,1,1,Yes,Yes,No,No,Vila Jacuí
162,350,50,2,2,1,1,No,No,No,No,Cidade Tiradentes
951,700,67,3,2,1,2,Yes,Yes,Yes,No,Cidade Ademar
10098,450,50,2,2,1,1,No,No,Yes,No,Butantã
3987,1970,110,4,2,1,3,No,No,No,No,Santo Amaro
10243,1057,88,2,2,1,2,No,No,No,No,Vila Leopoldina
1041,1150,103,3,3,1,2,No,No,No,No,Ipiranga
9690,172,45,2,2,1,1,No,No,No,No,Lajeado
11150,750,55,1,2,1,1,Yes,Yes,Yes,No,Vila Olimpia
9422,480,52,2,2,1,1,No,No,No,No,Tremembé
10325,650,53,2,1,0,1,No,No,Yes,No,Liberdade
1377,480,50,1,2,1,1,No,No,No,No,Saúde
1351,596,76,2,2,1,1,No,No,No,No,Santo Amaro
3776,1325,157,3,2,1,1,No,No,No,No,Jardim Paulista
3307,532,45,1,1,0,1,Yes,No,No,No,Vila Prudente
1625,140,60,1,2,1,1,No,No,No,No,Anhanguera
872,320,38,2,2,1,1,No,No,No,No,Campo Limpo
2401,690,50,2,1,0,1,No,No,Yes,No,Consolação
666,513,57,2,2,1,1,Yes,No,Yes,No,Vila Matilde
1545,345,64,2,2,1,1,Yes,No,Yes,No,Vila Sônia
4821,400,50,2,1,0,1,No,No,No,No,Rio Pequeno
10605,1400,45,1,2,1,1,No,Yes,Yes,No,Itaim Bibi
2580,1520,95,3,2,1,2,Yes,No,Yes,No,Santa Cecília
1554,804,68,3,2,1,1,Yes,No,Yes,No,Vila Sônia
2764,835,98,3,2,1,1,No,No,No,No,Santana
4796,300,58,2,1,0,1,No,No,No,No,Pirituba
3235,100,65,2,2,1,1,No,No,No,No,Vila Curuçá
5350,0,90,2,1,0,1,No,No,No,No,Mooca
238,1900,62,1,2,1,2,No,Yes,No,No,Iguatemi
5250,1000,145,4,2,1,1,Yes,No,No,No,Mooca
1524,3000,230,3,4,3,5,No,No,Yes,No,Vila Mariana
10339,730,35,1,1,0,1,No,No,Yes,No,Santa Cecília
2301,413,75,2,1,0,0,No,No,No,No,Brás
2194,780,56,2,2,1,1,No,Yes,Yes,No,Bela Vista
3696,600,60,2,1,0,1,No,No,Yes,No,Jabaquara
899,0,90,2,2,1,1,No,No,No,No,Capão Redondo
11208,2354,205,3,2,1,2,Yes,No,No,No,Brooklin
9708,279,56,2,2,1,1,No,No,No,No,Sapopemba
4603,185,35,1,1,0,0,No,No,No,No,Limão
2081,1007,130,3,4,1,2,Yes,No,Yes,No,Vila Leopoldina
713,450,65,3,2,1,1,Yes,No,Yes,No,Vila Prudente
5342,593,71,2,2,1,1,No,No,No,No,Mooca
10505,570,70,3,2,1,1,No,No,No,No,Cambuci
10051,1050,70,2,2,1,1,Yes,No,Yes,No,Vila Mariana
2631,440,58,2,2,1,1,No,No,Yes,No,Casa Verde
10013,425,56,2,2,1,1,No,No,No,No,Socorro
9628,1200,179,4,4,3,3,No,No,No,No,Belém
4408,0,35,1,1,0,0,No,No,No,No,Freguesia do Ó
10366,545,44,1,1,0,1,No,No,Yes,No,Santana
326,270,50,2,2,1,1,No,No,No,No,José Bonifácio
2039,0,136,3,2,1,2,Yes,Yes,Yes,No,Raposo Tavares
9238,310,35,1,2,1,1,Yes,No,No,No,República
2265,580,69,3,2,1,1,Yes,No,No,No,Bom Retiro
2769,610,96,3,1,0,1,No,No,No,No,Tremembé
965,594,69,3,2,1,1,No,No,Yes,No,Cidade Ademar
601,1700,154,3,4,1,2,Yes,No,Yes,No,Vila Formosa
172,180,40,2,2,1,1,No,Yes,No,No,Cidade Tiradentes
10129,630,70,3,2,1,1,Yes,No,Yes,No,Jaguaré
3318,1100,156,3,4,3,2,No,No,No,No,Vila Prudente
4486,380,66,2,1,0,1,No,No,No,No,Jaraguá
4364,680,65,2,2,1,1,No,No,Yes,No,Butantã
483,235,65,3,2,1,1,Yes,No,No,No,São Mateus
4627,1400,142,3,2,1,2,No,No,Yes,No,Perdizes
520,600,60,2,2,1,1,No,No,No,No,Tatuapé
36,1450,155,3,4,3,3,Yes,Yes,No,No,Belém
2397,1200,159,3,5,2,2,No,No,Yes,No,Consolação
10095,750,104,3,2,1,2,Yes,No,Yes,No,Butantã
3681,337,45,1,1,0,1,Yes,No,No,No,Jabaquara
4118,470,50,2,1,0,1,No,No,Yes,No,Vila Andrade
2213,0,230,3,2,1,2,No,No,No,No,Bela Vista
2626,1000,80,3,2,1,1,No,No,No,No,Casa Verde
241,0,46,2,2,1,1,No,No,No,No,Itaim Paulista
9901,1300,64,1,2,1,1,No,Yes,Yes,No,Itaim Bibi
10044,1200,75,2,2,1,2,Yes,No,Yes,No,Vila Mariana
3374,600,80,2,2,1,2,No,No,Yes,No,Cambuci
4734,831,80,2,1,0,1,No,Yes,No,No,Pinheiros
1155,555,70,3,2,1,1,No,No,Yes,No,Jardim Ângela
2569,700,60,2,2,1,2,Yes,No,Yes,No,Santa Cecília
10592,220,100,2,1,0,1,Yes,No,No,No,Ipiranga
3157,555,70,3,2,1,1,No,No,Yes,No,São Lucas
1045,400,60,2,2,1,1,Yes,No,Yes,No,Ipiranga
725,290,32,1,2,1,1,Yes,No,No,No,Cambuci
2092,1050,96,2,3,2,2,Yes,No,Yes,No,Vila Leopoldina
3989,1100,112,3,2,1,2,No,No,Yes,No,Santo Amaro
9389,650,55,2,2,1,1,No,No,No,No,Santana
2545,425,40,1,2,1,1,Yes,No,Yes,No,Santa Cecília
1766,0,50,2,2,1,1,No,No,No,No,Freguesia do Ó
1083,1784,147,3,3,1,2,Yes,No,No,No,Itaim Bibi
2535,377,38,1,1,0,0,No,No,No,No,República
10591,125,80,2,1,0,0,No,No,No,No,Ipiranga
10987,690,57,2,2,1,2,No,No,Yes,No,Rio Pequeno
10269,350,66,1,1,0,0,Yes,No,No,No,Bela Vista
4162,3000,200,4,3,2,3,No,No,No,No,Vila Mariana
4852,1100,142,4,3,2,2,No,No,Yes,No,Vila Leopoldina
5185,980,138,3,2,1,1,No,No,No,No,Mooca
10249,773,105,2,1,0,1,No,No,No,No,Barra Funda
1302,508,61,2,2,1,1,Yes,No,Yes,No,Sacomã
3043,517,64,2,2,1,1,No,No,Yes,No,Carrão
140,320,50,2,2,1,1,Yes,No,No,No,Cidade Líder
4490,279,43,1,1,0,1,No,Yes,No,No,Jaraguá
9583,0,36,2,2,1,1,No,No,No,No,Aricanduva
10624,3500,206,4,2,1,3,No,No,Yes,No,Itaim Bibi
308,100,52,2,2,1,1,No,No,No,No,José Bonifácio
376,0,84,2,2,1,1,Yes,No,No,No,Penha
9480,1,55,1,2,1,1,No,No,No,No,Vila Guilherme
873,615,75,3,2,1,1,No,No,Yes,No,Campo Limpo
9631,587,52,2,2,1,1,Yes,No,No,No,Cangaíba
65,400,55,2,2,1,1,No,No,No,No,Cangaíba
3736,1600,91,2,2,1,1,Yes,No,Yes,No,Jardim Paulista
4763,1150,85,2,2,1,1,No,No,Yes,No,Pirituba
5382,0,55,2,1,0,0,No,No,No,No,Mooca
4889,1300,175,3,3,2,3,Yes,No,Yes,No,Vila Leopoldina
4178,970,75,3,3,1,2,No,No,Yes,No,Vila Mariana
9695,350,52,2,2,1,1,Yes,No,No,No,Penha
9954,1300,168,2,3,2,2,No,No,Yes,No,Moema
4604,293,70,2,1,0,0,No,No,No,No,Limão
700,500,56,2,2,1,1,No,Yes,No,No,Vila Prudente
10349,450,35,1,2,1,1,No,No,Yes,No,Santa Cecília
4873,680,70,1,2,1,2,No,No,Yes,No,Vila Leopoldina
3740,2850,270,3,4,3,2,No,No,No,No,Jardim Paulista
4760,583,60,3,1,0,1,No,No,No,No,Pirituba
5284,1200,32,1,2,1,1,Yes,Yes,Yes,No,Vila Olimpia
1533,710,70,2,2,1,1,Yes,No,No,No,Vila Mariana
4730,1235,109,2,3,2,2,No,No,No,No,Pinheiros
9333,600,70,2,2,1,2,No,No,No,No,Jaçanã
4325,900,88,3,2,1,2,No,No,Yes,No,Butantã
1732,460,50,2,2,1,1,Yes,No,No,No,Cachoeirinha
2851,0,65,2,1,0,0,No,No,No,No,Vila Guilherme
113,560,62,2,2,1,1,Yes,No,Yes,No,Carrão
4752,371,54,2,1,0,1,No,No,No,No,Pirituba
9569,700,76,3,2,1,2,Yes,Yes,No,No,Aricanduva
4637,1018,56,1,1,0,1,No,No,No,No,Perdizes
496,0,38,1,2,1,1,No,No,No,No,São Miguel
1037,100,58,2,2,1,1,No,No,No,No,Ipiranga
2448,270,63,1,1,0,0,No,No,No,No,Liberdade
4255,2430,165,3,2,1,2,No,No,Yes,No,Alto de Pinheiros
1484,850,35,1,2,1,1,Yes,Yes,Yes,No,Vila Mariana
825,0,75,3,2,1,2,No,Yes,Yes,No,Campo Grande
1893,388,58,2,2,1,1,Yes,No,No,No,Limão
4872,1500,130,3,4,3,2,No,Yes,No,No,Vila Leopoldina
4261,3700,240,3,4,3,3,No,No,No,No,Alto de Pinheiros
9349,600,70,2,2,1,2,No,No,No,No,Jaçanã
3381,0,120,3,2,1,1,No,Yes,Yes,No,Campo Belo
4658,872,105,3,2,1,2,No,Yes,Yes,No,Perdizes
1427,480,50,2,2,1,1,Yes,No,No,No,Socorro
1255,2325,210,3,5,3,3,Yes,No,Yes,No,Morumbi
9316,1850,192,4,6,3,2,No,No,No,No,Casa Verde
1668,392,50,2,2,1,1,No,No,No,No,Brasilândia
10679,1837,142,3,2,1,2,No,Yes,Yes,No,Moema
678,430,61,2,2,1,1,No,No,Yes,No,Vila Matilde
3951,550,69,3,2,1,2,No,No,Yes,No,Sacomã
918,0,50,2,2,1,1,Yes,No,Yes,No,Capão Redondo
121,0,30,1,2,1,1,No,No,No,No,Cidade Líder
452,390,50,2,2,1,1,No,No,No,No,São Lucas
2026,650,78,3,2,1,2,Yes,No,Yes,No,Pirituba
3559,795,101,3,2,1,2,No,No,Yes,No,Ipiranga
2661,300,67,3,2,1,0,No,No,No,No,Jaçanã
2756,500,36,1,1,0,1,No,No,Yes,No,Santana
